"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
spei3,NOV,1971,2100,-0.0056983501541578,-0.000573343636015046,0.00453343384688642
spei6,APR,1971,2100,-0.00883928979069864,-0.00417924787087495,0.000474979636630409
spei6,OCT,1971,2100,-0.0111746926706849,-0.00657234975988786,-0.00207424720016147
spei12,JUN,1971,2100,-0.00684717292607366,-0.00240471325901133,0.0018229121737565
spei12,DEC,1971,2100,-0.00653276128911598,-0.00264845813483294,0.00151650082392953
spi3,FEB,1971,2100,-0.00221865088704672,0.00226835174231957,0.00713499565571656
spi3,MAY,1971,2100,-0.00163975703627209,0.00346766852461091,0.00815396561962444
spi3,AUG,1971,2100,-0.00904054658041787,-0.00453995727155052,2.7272344873048e-05
spi3,NOV,1971,2100,-0.00399719618418444,0.00116867876828124,0.006084084316387
spi6,APR,1971,2100,-0.00567432606972517,-0.000948969051443643,0.00337124275398923
spi6,OCT,1971,2100,-0.00815574028381277,-0.00357113085297673,0.000850998627332553
spi12,JUN,1971,2100,-0.00345428325801604,0.00069610713495238,0.00520710721584907
spi12,DEC,1971,2100,-0.00392883012427453,0.00017347268636175,0.00434949146338936
tmm,annual,1971,2100,0.0143452279664066,0.0168562469265894,0.018897689497717
tmm,monthly,1971,2100,0.00069047013330619,0.00134344713948605,0.0019908340789577
tmm,DJF,1971,2100,0.0115783496212723,0.0164349128639182,0.0220496321646939
tmm,MAM,1971,2100,0.00668296136025876,0.0111465651135006,0.0158431022958442
tmm,JJA,1971,2100,0.0149787786738351,0.020012700901082,0.0252821897401434
tmm,SON,1971,2100,0.0131012503318731,0.0167651446966679,0.0205710138722952
txm,annual,1971,2100,0.0145055866457071,0.0177129891663094,0.0205458202059397
txm,monthly,1971,2100,0.000619493827160511,0.00138388523548856,0.00215420874653292
txm,DJF,1971,2100,0.0113818400443202,0.0166013333593851,0.0224225767743565
txm,MAM,1971,2100,0.00343296528112129,0.00937880091234918,0.0152929832572298
txm,JJA,1971,2100,0.0153355203312323,0.0223771454489137,0.029559471658038
txm,SON,1971,2100,0.0131441420658195,0.0178454484313962,0.0224190708574583
tnm,annual,1971,2100,0.013942301369863,0.0158128902707359,0.0176851475237092
tnm,monthly,1971,2100,0.000768575268817312,0.0012944856370406,0.00182222597534201
tnm,DJF,1971,2100,0.0115347832506227,0.016411948739688,0.0216432421253831
tnm,MAM,1971,2100,0.0094257565284178,0.0131357792114695,0.0167735663082437
tnm,JJA,1971,2100,0.0144596195202647,0.0177063369175613,0.0211219471797774
tnm,SON,1971,2100,0.0120302106827519,0.0154623875592554,0.0188094974452833
